aphiaidaccepted;scientificnameaccepted;trait;phylum;scientificnameauthorship
496828;Ectocarpus crouaniorum;not;Ochrophyta;Thuret, 1863
503360;Ectocarpus distortus;not;Ochrophyta;Carmichael, 1833
503359;Ectocarpus erectus;not;Ochrophyta;K¸tzing
145404;Ectocarpus fasciculatus;not;Ochrophyta;Harvey, 1841
550846;Ectocarpus fasciculatus var. congestus;not;Ochrophyta;(P.L.Crouan & H.M.Crouan) Batters, 1902
145405;Ectocarpus flagelliformis;not;Ochrophyta;K¸tzing, 1843
157164;Ectocarpus penicillatus;not;Ochrophyta;(C.Agardh) Kjellman, 1890
550942;Ectocarpus repens var. confluens;not;Ochrophyta;(Holmes) Batters, 1902
145410;Ectocarpus siliculosus;not;Ochrophyta;(Dillwyn) Lyngbye, 1819
550728;Ectocarpus siliculosus var. dasycarpus;not;Ochrophyta;(Kuckuck) Gallardo, 1992
551100;Ectocarpus siliculosus var. pygmaeus;not;Ochrophyta;(ÅÅAreschoug) Gallardo, 1992
550732;Ectocarpus siliculosus var. subulatus;not;Ochrophyta;(K¸tzing) T.Gallardo, 1992
552840;Ectocarpus tomentosoides var. punctiformis;not;Ochrophyta;Batters
172156;Ectrogella;phy;Oomycota;Zopf, 1884
926211;Eggerellina brevis;foram;Foraminifera;(d'Orbigny, 1840)
143968;Elachista;not;Ochrophyta;Duby, 1830
144936;Elachista flaccida;not;Ochrophyta;(Dillwyn) Fries, 1835
144937;Elachista fucicola;not;Ochrophyta;(Velley) Areschoug, 1842
144942;Elachista scutulata;not;Ochrophyta;(Smith) Areschoug, 1843
144943;Elachista stellaris;not;Ochrophyta;J.E. Areschoug, 1842
924213;Ellipsodimorphina variabilis;foram;Foraminifera;Gawor-Biedowa, 1992
711502;Ellipsoidella;foram;Foraminifera;Heron-Allen & Earland, 1910
112162;Elphidium;foram;Foraminifera;Montfort, 1808
113257;Elphidium articulatum;foram;Foraminifera;(d'Orbigny, 1839)
115104;Emiliania huxleyi;phytoplankton;Haptophyta;(Lohmann) W.W.Hay & H.P.Mohler, 1967
146946;Endodictyon infestans;not;Ochrophyta;Gran, 1897
231803;Ensiculifera;phy;Myzozoa;Balech ex K.Matsuoka, S.Kobayashi & G.Gains, 1990
371793;Entocladia cladophorae;not;Chlorophyta;(Hornby) Starmach, 1972
156598;Entomoneis;phytoplankton;Ochrophyta;Ehrenberg, 1845
163646;Entomoneis paludosa;phytoplankton;Ochrophyta;(W.Smith) Reimer, 1975
341375;Entomoneis paludosa var. hyperborea;phytoplankton;Ochrophyta;(Grunow) Poulin & Cardinal, 1983
211903;Entophysalis deusta;cyano;Cyanobacteria;(Meneghini) F.E.Drouet & W.A.Daily, 1948
734380;Entzia polystoma;foram;Foraminifera;(Bartenstein & Brand, 1938)
1027942;Eouvigerina cretae;foram;Foraminifera;(Ehrenberg, 1854)
522770;Eouvigerina hispida;foram;Foraminifera;Cushman, 1931
906770;Eouvigerina inflata;foram;Foraminifera;Gauger, 1953
146008;Epicladia perforans;not;Chlorophyta;(Huber) R.Nielsen, 1980
341668;Epiplocylis undella;not;Ciliophora;(Ostenfeld & Schmidt) Jˆrgensen, 1927
112168;Epistominella;foram;Foraminifera;Husezima & Maruhasi, 1944
1030538;Epistominella alata;foram;Foraminifera;(Marsson, 1878)
113334;Epistominella exigua;foram;Foraminifera;(Brady, 1884)
112174;Eponides;foram;Foraminifera;Montfort, 1808
896572;Eponides beisseli;foram;Foraminifera;Schijfsma, 1946
925909;Eponides concinnus;foram;Foraminifera;Brotzen, 1936
148941;Ethmodiscus punctiger;phytoplankton;Ochrophyta;Castracane, 1886
149130;Eucampia;phytoplankton;Ochrophyta;C.G. Ehrenberg, 1839
157430;Eucampia groenlandica;phytoplankton;Ochrophyta;Cleve, 1896
163243;Eucampia striata;phytoplankton;Ochrophyta;Stolterfoth, 1879
149131;Eucampia zodiacus;phy;Ochrophyta;Ehrenberg, 1839
144918;Eudesme virescens;not;Ochrophyta;(Carmichael ex Berkeley) J.Agardh, 1882
8012;Euglena;phytoplankton;Euglenozoa;Ehrenberg, 1830
163246;Euglena viridis;NA;Euglenozoa;(O.F.M¸ller) Ehrenberg, 1830
145922;Eugomontia sacculata;not;Chlorophyta;Kornmann, 1960
160527;Eunotogramma;phytoplankton;Ochrophyta;J.F. Weisse, 1854
345464;Eunotogramma dubium;phytoplankton;Ochrophyta;Hustedt, 1939
179326;Euplotes;not;Ciliophora;O.F. M¸ller, 1786
162772;Eupodiscus crassus;phy;Ochrophyta;W.Smith, 1853
979620;Eupodiscus ralfsii var. ralfsii;phy;Ochrophyta;W. Smith, 1856
179160;Eupodiscus roperi;phytoplankton;Ochrophyta;BrÈbisson, 1870
179377;Eupodiscus sculptus;phy;Ochrophyta;W.Smith, 1853
162803;Eupodiscus tenellus;phy;Ochrophyta;BrÈbisson, 1854
163388;Eupodiscus tesselatus;phy;Ochrophyta;Roper, 1858
183543;Eutintinnus;not;Ciliophora;Kofoid & Campbell, 1939
183557;Eutintinnus elongatus;not;Ciliophora;Jˆrgensen, 1924
417214;Eutintinnus pectinis;not;Ciliophora;(Kofoid & Campbell, 1929)
178582;Eutreptia;phy;Euglenozoa;Perty, 1852
248120;Eutreptia lanowii;phytoplankton;Euglenozoa;Steuer, 1904
17657;Eutreptiella;phytoplankton;Euglenozoa;A.da Cunha, 1914
248121;Eutreptiella braarudii;phytoplankton;Euglenozoa;Throndsen, 1969
110652;Eutreptiella gymnastica;phy;Euglenozoa;Throndsen, 1969
160556;Eutreptiella marina;phytoplankton;Euglenozoa;da Cunha, 1914
573872;Eutreptiella pascheri;phy;Euglenozoa;(Schiller) Pascher, 1927
345472;Extubocellulus;phytoplankton;Ochrophyta;G.R. Hasle, H.A. von Stosch & E.E. Syvertsen, 1983
172375;Fallacia;phytoplankton;Ochrophyta;A.J. Stickle & D.G. Mann in F.E. Round, R.M. Crawford & D.G. Mann, 1990
172431;Favella;not;Ciliophora;Jˆrgensen, 1924
235761;Favella ehrenbergii;not;Ciliophora;(ClaparËde & Lachmann, 1858) Jˆrgensen, 1924
292923;Favella helgolandica;not;Ciliophora;(Brandt, 1906) Jˆrgensen, 1924
113193;Favulina hexagona;foram;Foraminifera;(Williamson, 1848)
156093;Feldmannia globifera;not;Ochrophyta;(K¸tzing) G.Hamel, 1939
145415;Feldmannia irregularis;not;Ochrophyta;(K¸tzing) Hamel, 1939
145417;Feldmannia lebelii;not;Ochrophyta;(Areschoug ex P.Crouan & H.Crouan) Hamel, 1939
699648;Feldmannia mitchelliae;not;Ochrophyta;(Harvey) H.-S.Kim, 2010
145418;Feldmannia padinae;not;Ochrophyta;(Buffham) G.Hamel, 1939
145419;Feldmannia paradoxa;not;Ochrophyta;(Montagne) G.Hamel, 1939
145421;Feldmannia simplex;not;Ochrophyta;(P.Crouan & H.Crouan) Hamel, 1939
233759;Fibrocapsa;phytoplankton;Ochrophyta;S.Toriumi & H.Takano, 1973
233761;Fibrocapsa japonica;phytoplankton;Ochrophyta;S.Toriumi & H.Takano, 1973
112154;Fissurina;foram;Foraminifera;Reuss, 1850
908920;Fissurina laticarinata;foram;Foraminifera;Sliter, 1968
149028;Fragilaria;phytoplankton;Ochrophyta;H.C. Lyngbye, 1819
172385;Fragilaria capucina var. capucina;phytoplankton;Ochrophyta;NA
149239;Fragilaria islandica;phytoplankton;Ochrophyta;Grunow ex Van Heurck, 1881
345475;Fragilaria oblonga;phytoplankton;Ochrophyta;Drebes & Schulz, 1990
983464;Fragilaria oceanica f. oceanica;phytoplankton;Ochrophyta;Cleve, 1873
157458;Fragilaria striatula;phytoplankton;Ochrophyta;Lyngbye, 1819
573470;Fragilaria unipunctata;phy;Ochrophyta;Lyngbye, 1819
149313;Fragilariopsis;phytoplankton;Ochrophyta;F. Hustedt in A. Schmidt et al., 1913
172418;Fragilariopsis cylindrus;phy;Ochrophyta;(Grunow) Krieger, 1954
109468;Fragilidium;phytoplankton;Myzozoa;Balech ex Loeblich III, 1965
109705;Fragilidium subglobosum;phy;Myzozoa;(Stosch) Loeblich III, 1980
112247;Frondicularia;foram;Foraminifera;Defrance in d'Orbigny, 1826
909419;Frondicularia lineata;foram;Foraminifera;Hagenow, 1842
144129;Fucus;not;Ochrophyta;Linnaeus, 1753
548038;Fucus articulatus;not;Ochrophyta;S.G.Gmelin, 1768
145542;Fucus ceranoides;not;Ochrophyta;Linnaeus, 1753
554681;Fucus ceranoides f. ramosissima;not;Ochrophyta;Lynn, 1935
551124;Fucus ceranoides var. glomerata;not;Ochrophyta;(Batters) Lynn
552835;Fucus ceranoides var. linearis;not;Ochrophyta;Batters
552923;Fucus coccineus var. cartilagineus;not;Ochrophyta;NA
371030;Fucus cottonii;not;Ochrophyta;M.J.Wynne & Magne, 1991
552922;Fucus crispus var. stellatus;not;Ochrophyta;Goodenough & Woodward, 1797
145544;Fucus distichus;not;Ochrophyta;Linnaeus, 1767
249685;Fucus distichus subsp. anceps;not;Ochrophyta;(Harvey & Ward ex Carruthers) H.T.Powell, 1957
292672;Fucus distichus subsp. evanescens;not;Ochrophyta;(C.Agardh) H.T.Powell, 1957
624602;Fucus guiryi;not;Ochrophyta;Zardi, Nicastro, E.S.Serr„o & G.A.Pearson, 2011
548039;Fucus lichenoides;not;Ochrophyta;S.G.Gmelin, 1768
239259;Fucus ruscifolius;not;Ochrophyta;Turner, 1802
145546;Fucus serratus;not;Ochrophyta;Linnaeus, 1753
145547;Fucus spiralis;not;Ochrophyta;Linnaeus, 1753
145548;Fucus vesiculosus;not;Ochrophyta;Linnaeus, 1753
1309803;Fucus vesiculosus f. volubilis;not;Ochrophyta;(Goodenough & Woodward) A.C.Mathieson & Dawes, 2017
162548;Fucus vesiculosus var. linearis;not;Ochrophyta;(Hudson) K¸tzing, 1849
550944;Fucus vesiculosus var. vadorum;not;Ochrophyta;Areschoug, 1868
112111;Fursenkoina;foram;Foraminifera;Loeblich & Tappan, 1961
915733;Fursenkoina polonica;foram;Foraminifera;Gawor-Biedowa, 1992
668447;Gaillonella arctica;phytoplankton;Ochrophyta;(Dickie) Ehrenberg, 1853
409626;Gaudryina rugosa;foram;Foraminifera;d'Orbigny, 1840
722342;Gavelinella;foram;Foraminifera;Brotzen, 1942
735515;Gavelinella complanata;foram;Foraminifera;(Reuss, 1851)
1027953;Gavelinella mariae;foram;Foraminifera;(Jones, 1852)
1027954;Gavelinella multipunctata;foram;Foraminifera;(Bandy, 1951)
926065;Gavelinella pertusa;foram;Foraminifera;(Marsson, 1878)
113159;Gavelinopsis praegeri;foram;Foraminifera;(Heron-Allen & Earland, 1913)
214368;Gayralia oxysperma;not;Chlorophyta;(K¸tzing) K.L.Vinogradova ex Scagel <i>et al.</i>, 1989
235823;Gephyrocapsa;phy;Haptophyta;Kamptner, 1943
235955;Gephyrocapsa oceanica;phy;Haptophyta;Kamptner, 1943
145324;Giraudya sphacelarioides;not;Ochrophyta;DerbËs & Solier, 1851
109538;Glenodinium;phytoplankton;Myzozoa;Ehrenberg, 1836
112197;Globigerina;phy;Foraminifera;d'Orbigny, 1826
113434;Globigerina bulloides;phytoplankton;Foraminifera;d'Orbigny, 1826
113060;Globobulimina affinis;foram;Foraminifera;(d'Orbigny, 1839)
397221;Globocassidulina crassa;foram;Foraminifera;(d'Orbigny, 1839)
113091;Globocassidulina subglobosa;foram;Foraminifera;(Brady, 1881)
113448;Globorotalia hirsuta;phytoplankton;Foraminifera;(d'Orbigny, 1839)
113452;Globorotalia scitula;phytoplankton;Foraminifera;(Brady, 1882)
113453;Globorotalia truncatulinoides;phytoplankton;Foraminifera;(d'Orbigny, 1839)
735054;Globulina lacrima;foram;Foraminifera;(Reuss, 1845)
735057;Globulina prisca;foram;Foraminifera;Reuss, 1863
178924;Gloeocystis;phy;Chlorophyta;N‰geli, 1849
577860;Gloeotila;phy;Chlorophyta;K¸tzing, 1843
112292;Glomospira;foram;Foraminifera;Rzehak, 1885
149354;Glyphodesmis;phytoplankton;Ochrophyta;R.K. Greville, 1862
144903;Gomontia polyrhiza;not;Chlorophyta;(Lagerheim) Bornet & Flahault, 1888
149553;Gomphonema;phytoplankton;Ochrophyta;C.G. Ehrenberg, 1832
146570;Gomphosphaeria;cyano;Cyanobacteria;K¸tzing, 1836
600926;Goniochloris;phy;Ochrophyta;Geitler, 1928
109559;Goniodoma;phytoplankton;Myzozoa;Stein, 1883
106286;Goniomonas;phytoplankton;Cryptophyta;Stein, 1878
109519;Gonyaulax;phytoplankton;Myzozoa;Diesing, 1866
110014;Gonyaulax diegensis;phy;Myzozoa;Kofoid, 1911
110015;Gonyaulax digitale;phytoplankton;Myzozoa;(Pouchet) Kofoid, 1911
418136;Gonyaulax digitalis;phytoplankton;Myzozoa;(C.H.G.Pouchet) Kofoid, 1911
110034;Gonyaulax polyedra;phytoplankton;Myzozoa;F.Stein, 1883
110035;Gonyaulax polygramma;phy;Myzozoa;F.Stein, 1883
110038;Gonyaulax rugosum;phy;Myzozoa;Wailes
110039;Gonyaulax scrippsae;phy;Myzozoa;Kofoid, 1911
110041;Gonyaulax spinifera;phy;Myzozoa;(ClaparËde & Lachmann) Diesing, 1866
110045;Gonyaulax verior;phytoplankton;Myzozoa;Sournia, 1973
233673;Gotoius abei;phytoplankton;Myzozoa;K.Matsuoka, 1988
149335;Grammatophora;phytoplankton;Ochrophyta;C.G. Ehrenberg, 1840
149336;Grammatophora angulosa;phy;Ochrophyta;Ehrenberg, 1841
149338;Grammatophora marina;phy;Ochrophyta;(Lyngbye) K¸tzing, 1844
149339;Grammatophora oceanica;phy;Ochrophyta;Ehrenberg, 1840
149340;Grammatophora serpentina;phy;Ochrophyta;Ehrenberg, 1844
888243;Grigelis guttiferus;foram;Foraminifera;(d'Orbigny, 1846)
149111;Guinardia;phytoplankton;Ochrophyta;H. Peragallo, 1892
975336;Guinardia blavyana var. blavyana;phytoplankton;Ochrophyta;H. Peragallo, 1892
112251;Guttulina;foram;Foraminifera;d'Orbigny, 1839
899800;Guttulina cretacea;foram;Foraminifera;Alth, 1850
1027818;Guttulina semicostata;foram;Foraminifera;(Marsson, 1878)
735065;Guttulina trigonula;foram;Foraminifera;(Reuss, 1845)
109475;Gymnodinium;phytoplankton;Myzozoa;F. Stein, 1878
109777;Gymnodinium abbreviatum;phy;Myzozoa;Kofoid & Swezy, 1921
109780;Gymnodinium agiliforme;phytoplankton;Myzozoa;Schiller, 1928
232716;Gymnodinium aureolum;phytoplankton;Myzozoa;(E.M.Hulburt) Gert Hansen, 2000
162530;Gymnodinium bilobatum;phy;Myzozoa;Van Meel, 1969
147446;Gymnodinium capitatum;phy;Myzozoa;Conrad & Kufferath, 1954
109784;Gymnodinium catenatum;phytoplankton;Myzozoa;H.W.Graham, 1943
623645;Gymnodinium corollarium;phytoplankton;Myzozoa;A.M.Sundstrˆm, Kremp & Daugbjerg, 2009
162537;Gymnodinium cyaneofungiforme;phy;Myzozoa;Conrad & Kufferath, 1954
109791;Gymnodinium elongatum;phytoplankton;Myzozoa;B.Hope, 1954
109792;Gymnodinium endofasciculum;phy;Myzozoa;P.H.Campbell, 1973
109793;Gymnodinium filum;phy;Myzozoa;Lebour, 1917
232765;Gymnodinium galeatum;phytoplankton;Myzozoa;J.Larsen, 1994
162540;Gymnodinium glandiforme;phy;Myzozoa;Conrad & Kufferath, 1954
109800;Gymnodinium gracile;phytoplankton;Myzozoa;Bergh, 1881
109801;Gymnodinium grammaticum;phy;Myzozoa;(Pouchet) Kofoid & Swezy, 1921
232778;Gymnodinium heterostriatum;phy;Myzozoa;Kofoid & Swezy, 1921
232785;Gymnodinium impudicum;phytoplankton;Myzozoa;(S.Fraga & I.Bravo) Gert Hansen & Moestrup, 2000
109806;Gymnodinium incertum;phy;Myzozoa;E.C.Herdman, 1924
232788;Gymnodinium incoloratum;phy;Myzozoa;Conrad & Kufferath, 1954
232789;Gymnodinium inconstans;phy;Myzozoa;van Meel, 1969
495289;Gymnodinium lebouriae;phytoplankton;Myzozoa;Pavillard, 1921
232807;Gymnodinium mammosum;phy;Myzozoa;van Meel, 1969
109811;Gymnodinium marinum;phy;Myzozoa;Kent, 1880
109818;Gymnodinium nolleri;phy;Myzozoa;M.Ellegaard & ÿ.Moestrup, 1999
232829;Gymnodinium octo;phy;Myzozoa;J.Larsen, 1994
495301;Gymnodinium oppressum;phy;Myzozoa;Conrad, 1926
109819;Gymnodinium ostenfeldii;phytoplankton;Myzozoa;J.Schiller, 1928
503615;Gymnodinium parvum;phy;Myzozoa;J.Larsen, 1994
232842;Gymnodinium perplexum;phy;Myzozoa;van Meel, 1969
232844;Gymnodinium pingue;phy;Myzozoa;van Meel, 1969
232848;Gymnodinium punctatum;phy;Myzozoa;Pouchet, 1887
232849;Gymnodinium puniceum;phy;Myzozoa;Kofoid & Swezy, 1921
109825;Gymnodinium pygmaeum;phytoplankton;Myzozoa;Lebour, 1925
232857;Gymnodinium regulare;phy;Myzozoa;van Meel, 1969
109826;Gymnodinium rhomboides;phy;Myzozoa;Sch¸tt, 1895
232859;Gymnodinium roseostigma;phytoplankton;Myzozoa;P.H.Campbell, 1973
109827;Gymnodinium rubrocinctum;phy;Myzozoa;Lebour, 1925
232862;Gymnodinium scaphium;phy;Myzozoa;van Meel, 1969
232871;Gymnodinium suffuscum;phy;Myzozoa;van Meel, 1969
232874;Gymnodinium telma;phy;Myzozoa;van Meel, 1969
109834;Gymnodinium uberrimum;phy;Myzozoa;(G.J.Allman) Kofoid & Swezy, 1921
109835;Gymnodinium variabile;phy;Myzozoa;E.C.Herdman, 1924
232879;Gymnodinium vas;phy;Myzozoa;Van Meel, 1969
547469;Gymnodinium venator;phy;Myzozoa;Flo J¯rgensen & Murray, 2004
232880;Gymnodinium verruculosum;phytoplankton;Myzozoa;P.H.Campbell, 1973
232887;Gymnodinium viridans;phy;Myzozoa;van Meel, 1969
576265;Gymnodinium wulffii;phy;Myzozoa;J.Schiller, 1933
373873;Gymnosorus collaris;not;Ochrophyta;(C.Agardh) J.Agardh, 1894
109476;Gyrodinium;phytoplankton;Myzozoa;Kofoid & Swezy, 1921
232901;Gyrodinium aciculatum;phytoplankton;Myzozoa;G.Hansen & J.Larsen, 1992
109843;Gyrodinium britannicum;phy;Myzozoa;Kofoid & Swezy, 1921
109844;Gyrodinium calyptoglyphe;phy;Myzozoa;Lebour, 1925
109845;Gyrodinium cochlea;phy;Myzozoa;Lebour, 1925
232922;Gyrodinium corallinum;phytoplankton;Myzozoa;Kofoid & Swezy, 1921
109849;Gyrodinium crassum;phy;Myzozoa;(Pouchet) Kofoid & Swezy, 1921
109851;Gyrodinium dominans;phy;Myzozoa;Hulbert, 1957
109852;Gyrodinium estuariale;phytoplankton;Myzozoa;E.M.Hulbert, 1957
232931;Gyrodinium falcatum;phy;Myzozoa;Kofoid & Swezy, 1921
232934;Gyrodinium fissoides;phy;Myzozoa;Elbrachter, 1979
109854;Gyrodinium flagellare;phytoplankton;Myzozoa;Schiller, 1928
109856;Gyrodinium fusiforme;phy;Myzozoa;Kofoid & Swezy, 1921
232947;Gyrodinium grave;phy;Myzozoa;(Meunier) Kofoid & Swezy, 1921
232952;Gyrodinium herbaceum;phy;Myzozoa;Kofoid & Swezy, 1921
232953;Gyrodinium heterogrammum;phy;Myzozoa;J.Larsen, 1996
109857;Gyrodinium impendans;phy;Myzozoa;J.Larsen, 1996
109859;Gyrodinium lachryma;phy;Myzozoa;(Meunier) Kofoid & Swezy, 1921
627606;Gyrodinium lacryma;phy;Myzozoa;(Meunier) Kofoid & Swezy
109860;Gyrodinium linguliferum;phy;Myzozoa;Lebour, 1925
109863;Gyrodinium obtusum;phy;Myzozoa;(Sch¸tt) Kofoid & Swezy, 1921
109865;Gyrodinium opimum;phy;Myzozoa;(Sch¸tt) Lebour, 1925
109870;Gyrodinium pellucidum;phy;Myzozoa;(Wulff) J.Schiller, 1933
109872;Gyrodinium pingue;phy;Myzozoa;(Sch¸tt) Kofoid & Swezy, 1921
109873;Gyrodinium prunus;phy;Myzozoa;(Wulff) Lebour, 1925
109876;Gyrodinium spirale;phy;Myzozoa;(Bergh) Kofoid & Swezy, 1921
232998;Gyrodinium striatissimum;phy;Myzozoa;(E.M.Hulburt) Gert Hansen & ÿ.Moestrup, 2000
109878;Gyrodinium undulans;phy;Myzozoa;Hulbert, 1957
109881;Gyrodinium wulffii;phy;Myzozoa;Schiller, 1933
233009;Gyrodinium zeta;phy;Myzozoa;J.Larsen, 1996
112086;Gyroidina;foram;Foraminifera;d'Orbigny, 1826
951876;Gyroidina orbicularis;foram;Foraminifera;d'Orbigny in Parker, Jones & Brady, 1865
1027956;Gyroidina praemegastoma;foram;Foraminifera;(Myatlyuk, 1953)
112901;Gyroidina soldanii;foram;Foraminifera;d'Orbigny, 1826
112902;Gyroidina umbonata;foram;Foraminifera;(Silvestri, 1898)
1027912;Gyroidinoides lenticulus;foram;Foraminifera;(Reuss, 1845)
1027916;Gyroidinoides umbilicatus;foram;Foraminifera;(d'Orbigny, 1840)
149033;Gyrosigma;phytoplankton;Ochrophyta;A.H. Hassall, 1845
149493;Gyrosigma balticum;phy;Ochrophyta;(Ehrenberg) Rabenhorst, 1853
627731;Gyrosigma diminutum;phytoplankton;Ochrophyta;(W.Smith) Cleve
708293;Gyrosigma tenuirostrum;phy;Ochrophyta;(Grunow) Cleve-Euler, 1952
527972;Hagenowina;foram;Foraminifera;Loeblich & Tappan, 1961
624065;Halamphora coffeaeformis;phytoplankton;Ochrophyta;(C.Agardh) Levkov, 2009
145540;Halidrys siliquosa;not;Ochrophyta;(Linnaeus) Lyngbye, 1819
144904;Halochlorococcum dilatatum;phy;Chlorophyta;Kornmann & Sahling, 1983
1313572;Halochlorococcum marinum;phy;Chlorophyta;P.J.L.Dangeard ex Guiry, 2017
1311359;Halochlorococcum moorei;phy;Chlorophyta;(N.L.Gardner) Kornmann & Sahling ex Guiry, 2017
1313156;Halochlorococcum operculatum;phy;Chlorophyta;Kornmann & Sahling ex Guiry, 2017
145906;Halopteris filicina;not;Ochrophyta;(Grateloup) K¸tzing, 1843
182742;Halopteris scoparia;not;Ochrophyta;(Linnaeus) Sauvageau, 1904
145723;Halosiphon tomentosus;not;Ochrophyta;(Lyngbye) Jaasund, 1957
134528;Halosphaera;phytoplankton;Chlorophyta;K.J.F.Schmitz, 1878
376694;Halosphaera minor;phy;Chlorophyta;Ostenfeld
134546;Halosphaera viridis;phytoplankton;Chlorophyta;F.Schmitz, 1878
144944;Halothrix lumbricalis;not;Ochrophyta;(K¸tzing) Reinke, 1888
149571;Hantzschia;phytoplankton;Ochrophyta;A. Grunow, 1877
113185;Hanzawaia boueana;foram;Foraminifera;(d'Orbigny, 1846)
112330;Haplophragmoides;foram;Foraminifera;Cushman, 1910
145918;Haplospora globosa;not;Ochrophyta;Kjellman, 1872
900894;Haplostiche dentalinoides;foram;Foraminifera;Reuss, 1874
624976;Haptolina ericina;phy;Haptophyta;(Parke & Manton) Edvardsen & Eikrem, 2011
699623;Haptolina hirta;phytoplankton;Haptophyta;(Manton) Edvardsen & Eikrem, 2011
395989;Haramonas viridis;phy;Ochrophyta;Horiguchi, T. & Hoppenrath, M., 2003
149210;Haslea;phytoplankton;Ochrophyta;R. Simonsen, 1974
113293;Haynesina depressula;foram;Foraminifera;(Walker & Jacob, 1798)
113294;Haynesina germanica;foram;Foraminifera;(Ehrenberg, 1840)
145341;Hecatonema terminale;not;Ochrophyta;(K¸tzing) Kylin, 1937
376059;Hedraeophysa bulla;phy;Bigyra;Kent
573933;Helicopedinella tricostata;phy;Ochrophyta;(Roukhiyajnen) Sekiguchi, Kawachi, Nakayama & Inouye, 2003
172434;Helicostomella;not;Ciliophora;Jˆrgensen, 1924
427488;Helicostomella edentata;not;Ciliophora;(FaurÈ-Fremiet, 1924)
417184;Helicostomella fusiformis;not;Ciliophora;(Meunier) Jˆrgensen, 1924
240437;Helicostomella subulata;not;Ciliophora;(Ehrenberg, 1833) Jˆrgensen, 1924
157438;Helicotheca;phytoplankton;Ochrophyta;M. Ricard, 1987
157440;Helicotheca tamesis;phytoplankton;Ochrophyta;(Shrubsole) M.Ricard, 1987
163248;Hemiaulus;phytoplankton;Ochrophyta;P.A.C. Heiberg, 1863
109480;Hemidinium;phy;Myzozoa;Stein, 1878
109891;Hemidinium nasutum;phy;Myzozoa;F.Stein, 1878
180367;Hemidiscus cuneiformis;phy;Ochrophyta;Wallich, 1860
479102;Hemirobulina;foram;Foraminifera;Stache, 1864
106287;Hemiselmis;phytoplankton;Cryptophyta;Parke, 1949
106310;Hemiselmis virescens;phytoplankton;Cryptophyta;Droop, 1955
146165;Hemistasia;phy;Euglenozoa;Griessmann, 1913
146166;Hemistasia phaeocystidicola;phy;Euglenozoa;(Scherffel, 1900) Elbr‰chter & Schnepf, 1996
109894;Herdmania litoralis;phy;Myzozoa;J.D.Dodge, 1981
145426;Herponema solitarium;not;Ochrophyta;(Sauvageau) G.Hamel, 1939
145427;Herponema valiantei;not;Ochrophyta;(Bornet ex Sauvageau) G.Hamel, 1939
145428;Herponema velutinum;not;Ochrophyta;(Greville) J.Agardh, 1890
109540;Heterocapsa;phytoplankton;Myzozoa;Stein, 1883
688227;Heterocapsa arctica subsp. frigida;phytoplankton;Myzozoa;Rintala & G. H‰llfors, 2010
233615;Heterocapsa lanceolata;phytoplankton;Myzozoa;Iwataki & Fukuyo, 2002
233619;Heterocapsa minima;phy;Myzozoa;A.J.Pomroy, 1989
233620;Heterocapsa niei;phytoplankton;Myzozoa;(Loeblich III) Morrill & Loeblich III, 1981
110152;Heterocapsa rotundata;phytoplankton;Myzozoa;(Lohmann) Gert Hansen, 1995
8022;Heteronema;phy;Euglenozoa;Dujardin, 1878
160584;Heterosigma;phytoplankton;Ochrophyta;Y.Hada ex Y.Hara & M.Chihara, 1987
160585;Heterosigma akashiwo;phytoplankton;Ochrophyta;(Y.Hada) Y.Hada ex Y.Hara & M.Chihara, 1987
1030640;Heterostomella foveolata;foram;Foraminifera;(Marsson, 1878)
904763;Heterostomella gracilis;foram;Foraminifera;Hofker, 1956
178565;Hillea;phy;Cryptophyta;Schiller, 1925
178567;Hillea fusiformis;phy;Cryptophyta;(J.Schiller) J.Schiller, 1925
145551;Himanthalia elongata;not;Ochrophyta;(Linnaeus) S.F.Gray, 1821
180186;Himantidium marinum;phy;Ochrophyta;W.Smith, 1857
144102;Hincksia;not;Ochrophyta;J.E.Gray, 1864
145430;Hincksia fenestrata;not;Ochrophyta;(Berkeley ex Harvey) P.C.Silva, 1987
145431;Hincksia fuscata;not;Ochrophyta;(Zanardini) P.C.Silva, 1987
145433;Hincksia granulosa;not;Ochrophyta;(Smith) P.C.Silva, 1987
145435;Hincksia hincksiae;not;Ochrophyta;(Harvey) P.C.Silva, 1987
145438;Hincksia ovata;not;Ochrophyta;(Kjellman) P.C.Silva, 1987
145440;Hincksia sandriana;not;Ochrophyta;(Zanardini) P.C.Silva, 1987
145441;Hincksia secunda;not;Ochrophyta;(K¸tzing) P.C.Silva, 1987
109463;Histioneis;phytoplankton;Myzozoa;Stein, 1883
1322468;Hobaniella longicruris;phy;Ochrophyta;(Greville) P.A. Sims & D.M. Williams in Sims et al., 2018
113341;Hoeglundina elegans;foram;Foraminifera;(d'Orbigny, 1826)
248178;Holococcolithophora;not;Haptophyta;L.Cros & J.R.Young, 2005
723200;Homalohedra williamsoni;foram;Foraminifera;(Alcock, 1865)
417566;Hormosina pilulifera;foram;Foraminifera;(Brady, 1884)
112337;Hormosinella;foram;Foraminifera;Shchedrina, 1969
113636;Hyalinea balthica;foram;Foraminifera;(Schrˆter in Gmelin, 1791)
146627;Hyella;cyano;Cyanobacteria;Bornet & Flahault, 1888
146628;Hyella caespitosa;cyano;Cyanobacteria;Bornet & Flahault, 1888
